label,nodeType,order,path,price,description,link,imageLink,Swiggy,Zomato
Snacks,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/Smiley.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Snacks,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Snacks,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Pineapple Sheera,ProductType,4,"Inventory,Food,Restaurant,Snacks,Vegeterian,",30,,https://drive.google.com/file/d/1FCKOcFvqrIJW5Ka-S5i83KopHnx9CKs1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/PineappleSheera.jpg,75,125
Upma,ProductType,5,"Inventory,Food,Restaurant,Snacks,Vegeterian,",30,,https://drive.google.com/file/d/13GQTe4OiqscBJk7ZffGulypnLQLHUbGI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Upma.jpg,45,80
Idli Sambar,ProductType,6,"Inventory,Food,Restaurant,Snacks,Vegeterian,",30,,https://drive.google.com/file/d/15LEAAHkEgCFvQych8dWeexRXmEYoiGzZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/IdliSambar.jpg,50,130
Medu Vada Sambar,ProductType,7,"Inventory,Food,Restaurant,Snacks,Vegeterian,",40,,https://drive.google.com/file/d/1jwcGX9KmKSjHRb5K_QsNO6mfmtyut7bF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MeduVadaSambar.jpg,90,80
Dal Vada,ProductType,8,"Inventory,Food,Restaurant,Snacks,Vegeterian,",30,,https://drive.google.com/file/d/1_kahxP6jxiwORX8xGdzxeAiLkl3biu79/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/DalVada.jpg,40,50
Sabudana Vada,ProductType,9,"Inventory,Food,Restaurant,Snacks,Vegeterian,",30,,https://drive.google.com/file/d/1O6ziuAElEJ630iq-ZT8Wo5XdrYKapzLW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/SabudanaVada.jpg,90,180
Missal Pav,ProductType,10,"Inventory,Food,Restaurant,Snacks,Vegeterian,",40,,https://drive.google.com/file/d/1h-JylRXFIAJhafeEDmjgaNyupjctHn1c/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/MissalPav.jpg,90,98
Single Vada Ussal Pav,ProductType,11,"Inventory,Food,Restaurant,Snacks,Vegeterian,",40,,https://drive.google.com/file/d/1x43495zbxsEEgTg_FtyAHyEBnycp6dkl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/SingleVadaUssalPav.jpg,60,60
Vada Pav,ProductType,12,"Inventory,Food,Restaurant,Snacks,Vegeterian,",15,,https://drive.google.com/file/d/1y8Uq1xvmcEsnDueHLu64-gdUDukGsU8X/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VadaPav.jpg,25,69
Samosa Pav,ProductType,13,"Inventory,Food,Restaurant,Snacks,Vegeterian,",15,,https://drive.google.com/file/d/1Q_vKoJejBKjKHq_l-YUYB--p058Iu-ul/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/SamosaPav.png,25,18
Dahi Vada,ProductType,14,"Inventory,Food,Restaurant,Snacks,Vegeterian,",60,,https://drive.google.com/file/d/1-BwtRPHlb0C4bpqSXJrWa4FUJYm4O70Q/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Dahivada.jpg,125,99
Dahi Idli,ProductType,15,"Inventory,Food,Restaurant,Snacks,Vegeterian,",60,,https://drive.google.com/file/d/1GqXpFcxFRmGJeUKNQJGUVWUSAmORSl1k/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/DahiIdli.jpg,125,100
Uttappa,ProductType,16,"Inventory,Food,Restaurant,Snacks,Vegeterian,",40,,https://drive.google.com/file/d/1H3XHRTGbrp7HeMDFD8nZJh2zTcLCp_1W/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Uttappa.jpg,125,110
Sada Dosa,ProductType,17,"Inventory,Food,Restaurant,Snacks,Vegeterian,",40,,https://drive.google.com/file/d/1BfV6qb8VSQOEdjF50P7dvolLiVExsGGj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/SadaDosa.jpg,60,90
Masala Uttappa,ProductType,18,"Inventory,Food,Restaurant,Snacks,Vegeterian,",50,,https://drive.google.com/file/d/1r_dBCJd91WOfpHDhO8CajbjLp7xEfFEl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MasalaUttappa.jpg,85,110
Onion Uttappa,ProductType,19,"Inventory,Food,Restaurant,Snacks,Vegeterian,",50,,https://drive.google.com/file/d/1tM2Dw1K8XjlK4_duAdRFt6Un8RcZumFP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/OnionUttappa.jpg,120,110
Tomato Uttappa,ProductType,20,"Inventory,Food,Restaurant,Snacks,Vegeterian,",50,,https://drive.google.com/file/d/1EltYnXBfPeLOSl4A0fGDzTApnsyUD7Vf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/TomatoUttappa.jpg,73,120
Coconut Uttappa,ProductType,21,"Inventory,Food,Restaurant,Snacks,Vegeterian,",50,,https://drive.google.com/file/d/1syeoS2Yf--LX4D6U0XvTeAWIDOeqPheR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/CoconutUttappa.jpg,90,120
Masala Dosa,ProductType,22,"Inventory,Food,Restaurant,Snacks,Vegeterian,",50,,https://drive.google.com/file/d/1_-oVk3t6Cho2sazbziKyWFSIPhSBbfKQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MasalaDosa.jpg,110,100
Mysore Masala Dosa,ProductType,23,"Inventory,Food,Restaurant,Snacks,Vegeterian,",60,,https://drive.google.com/file/d/1jXxK1PO3BkkFzE7FRk7GMEaOVeb2wp-y/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Mysoremasaladosa.jpg,90,130
Mysore Cheese Masala Dosa,ProductType,24,"Inventory,Food,Restaurant,Snacks,Vegeterian,",90,,https://drive.google.com/file/d/1Mluod0WZJ6asJQiu1AsT1ztMRNfycW0R/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/MysoreCheeseMasalaDosa.jpg,180,130
Mysore Paneer Masala Dosa,ProductType,25,"Inventory,Food,Restaurant,Snacks,Vegeterian,",90,,https://drive.google.com/file/d/1XHg7mON0cOz6I_CXXBLCmCiAJjeAYK00/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/MysorePaneerMasalaDosa.jpg,160,
Bread Butter,ProductType,26,"Inventory,Food,Restaurant,Snacks,Vegeterian,",20,,https://drive.google.com/file/d/14FRb1qE5r6vwLMr-r43KXWtC8mgem1_1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/BreadButter.jpg,40,70
Toast Butter,ProductType,27,"Inventory,Food,Restaurant,Snacks,Vegeterian,",30,,https://drive.google.com/file/d/1X2jYME92sAanMzXDEJR4CgowUEATOuod/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/ToastButter.jpg,80,39
Veg Sandwich,ProductType,28,"Inventory,Food,Restaurant,Snacks,Vegeterian,",30,,https://drive.google.com/file/d/1PlGgNGtrT2Yat2aVQ8fMrdt-7q3J88A0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegSandwich.jpg,60,115
Veg Toast Sandwich,ProductType,29,"Inventory,Food,Restaurant,Snacks,Vegeterian,",40,,https://drive.google.com/file/d/1CCUYsdOkb0olsggn0-9wsAldJzKsJpSe/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/VegToastSandwich.jpg,90,115
Aloo Masala Toast Sandwich,ProductType,30,"Inventory,Food,Restaurant,Snacks,Vegeterian,",45,,https://drive.google.com/file/d/1hzpFJ3eI0tEo0LHOktxNI6ZqOYN0lj3H/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/AlooMasalaToastSandwich.jpg,149,81
French Fries,ProductType,31,"Inventory,Food,Restaurant,Snacks,Vegeterian,",40,,https://drive.google.com/file/d/1OkJBwMbikkeQriYIH41haxxTopeFdL7y/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/FrenchFries.jpg,85,129
French Fries With Maggi Masala,ProductType,32,"Inventory,Food,Restaurant,Snacks,Vegeterian,",50,,https://drive.google.com/file/d/1fsfZrC3dGNtvmso-Q5u5CzhxQoUPNsBo/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/FrenchFriesWithMaggiMasala.jpg,135,
Potato Twister,ProductType,33,"Inventory,Food,Restaurant,Snacks,Vegeterian,",70,,https://drive.google.com/file/d/1OgQcJirKiiZfo9Tjug_BUnmzGyl_wpLf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/PotatoTwister.jpg,,50
Breakfast,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Breakfast.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Breakfast,",,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Breakfast,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Pav Bhaji,ProductType,4,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",70,,https://drive.google.com/file/d/1k_uUCECpwnv5CmChzGwV97KAx-OjujZx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PavBhaji.jpg,180,170
Masala Pav,ProductType,5,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",60,,https://drive.google.com/file/d/1hlPAKukVuC00dFC-zteog7nNORmSUdEt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MasalaPav.jpg,75,80
Butter Pav,ProductType,6,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",10,,https://drive.google.com/file/d/1x9IdSB6cHW-mZozUKHoHqTX2hnFHcDOR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/ButterPav.jpg,10,22
Tawa Idli,ProductType,7,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",80,,https://drive.google.com/file/d/1yapS8hbseUm6WcBWrC8SHzW4MRPeWVR8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/TawaIdli.jpg,155,140
Rice,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Rice.jpg,35,135
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Rice,",,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Rice,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Tawa Pulav,ProductType,4,"Inventory,Food,Restaurant,Rice,Vegeterian,",80,,https://drive.google.com/file/d/1FdguHo7pWWPWTUI1UKjpEDOa7DF1PTjk/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tawa-Pulav.jpg,190,160
Dal Rice,ProductType,5,"Inventory,Food,Restaurant,Rice,Vegeterian,",60,,https://drive.google.com/file/d/1qFwcama6fYff5fvmsLMU2H5wQO4Q8arU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DalRice.jpg,140,149
Sambhar Rice,ProductType,6,"Inventory,Food,Restaurant,Rice,Vegeterian,",60,,https://drive.google.com/file/d/1j2QVKgNcTaVtFoyFgGFkte_D74Jloiut/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/SambharRice.jpg,220,108
