label,nodeType,order,path,price,description,link,imageLink,Swiggy ,Zomato
Starters,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Starters.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Starters,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Starters,",,,,,,
Harabhara Kabab,ProductType,4,"Inventory,Food,Restaurant,Starters,Vegeterian,",170,,https://drive.google.com/file/d/1BrPwx-w-1MjPfTMaqxvQ8dO_Ru7736Ex/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/HaraBharaKabab.jpg,,
Veg Hariyali Kabab,ProductType,5,"Inventory,Food,Restaurant,Starters,Vegeterian,",180,,https://drive.google.com/file/d/1KbfkDytKh2VTntRHDb87PwMg5z_mCa9i/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food122021/VegHariyaliKabab.jpg,,
Veg Bhandar Kabab,ProductType,6,"Inventory,Food,Restaurant,Starters,Vegeterian,",180,,https://drive.google.com/file/d/19iTsq4mimp8YldRK6vLI5qOggFWAOQz-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food122021/VegBhandarKabab.jpg,,
Casnoda Reshmi Kabab,ProductType,7,"Inventory,Food,Restaurant,Starters,Vegeterian,",180,,https://drive.google.com/file/d/1xWkkPSTregrXDt9YjoFmYcrcf-yBecAf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food122021/CasnodaReshmiKabab.jpg,,
Veg Raja Kabab,ProductType,8,"Inventory,Food,Restaurant,Starters,Vegeterian,",180,,https://drive.google.com/file/d/18WXjMd6cQemMFaD3zXA39O1VZP_wf5s4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food122021/VegRajaKabab.jpg,,
Reshmo Kabab,ProductType,9,"Inventory,Food,Restaurant,Starters,Vegeterian,",210,,https://drive.google.com/file/d/1e0voTa34yiq9UywOYQ0169d8wUYeJAhq/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food122021/ReshmoKabab.jpg,,
Paneer Bunja Tikka Dry,ProductType,10,"Inventory,Food,Restaurant,Starters,Vegeterian,",210,,https://drive.google.com/file/d/1qbXsaKftpGIXuWRiRkyY2pD4qPdezVfD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food122021/PaneerBunjaTikkaDry.jpg,,
Mushroom Tikka Fry,ProductType,11,"Inventory,Food,Restaurant,Starters,Vegeterian,",230,,https://drive.google.com/file/d/1hZyRBfXJZlT5OSD9x5f_tO77OmmxXez2/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food122021/MushroomTikkaFry.jpg,,
Veg Spring Roll,ProductType,12,"Inventory,Food,Restaurant,Starters,Vegeterian,",150,,https://drive.google.com/file/d/1B6jABivt6vPzdMLxzUamh_sH58-CN1Nl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Spring-Roll.jpg,,
Melroni Roll,ProductType,13,"Inventory,Food,Restaurant,Starters,Vegeterian,",180,,https://drive.google.com/file/d/1kyCCa-y1aBUb1NXihf4q2-nO1TLMRZ6x/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food122021/MelroniRoll.jpg,,
Mix Melroni Pasta Roll,ProductType,14,"Inventory,Food,Restaurant,Starters,Vegeterian,",180,,https://drive.google.com/file/d/1bQs8GPSbapde9yoQ0GUwuyI-pSMlWckS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food122021/MixMelroniPastaRoll.jpg,,
Chinese Spring Roll,ProductType,15,"Inventory,Food,Restaurant,Starters,Vegeterian,",200,,https://drive.google.com/file/d/1RaWP7NlEzFGvdMBJUerbCPDNhzPYJstJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food122021/ChineseSpringRoll.jpg,,
Mix Green Sizzler,ProductType,16,"Inventory,Food,Restaurant,Starters,Vegeterian,",270,,,,,
Chinese Sizzler,ProductType,17,"Inventory,Food,Restaurant,Starters,Vegeterian,",280,,https://drive.google.com/file/d/1E9ADrJcqCnusYoLsfAMbOhxqhgsixyQF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Sizzling-Sizzler.jpg,,
Melroni Sizzler,ProductType,18,"Inventory,Food,Restaurant,Starters,Vegeterian,",280,,https://drive.google.com/file/d/12iN3UwXJ04ayG3oZF6fiVQ0aVIT1Vz86/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food122021/MelroniSizzler.jpg,,
Entree,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/Entree.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Entree,",,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Entree,",,,,,,
Paneer Pahadi Tikka Masala,ProductType,4,"Inventory,Food,Restaurant,Entree,Vegeterian,",240,,https://drive.google.com/file/d/1pXx-R_8ImhwheqCL4qt33fngkN2loO_v/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food122021/PaneerPahadiTikkaMasala.jpg,,
Paneer Hariyali Tikka Masala,ProductType,5,"Inventory,Food,Restaurant,Entree,Vegeterian,",240,,https://drive.google.com/file/d/1Xl5kcSKJAebVThhtKvDOixY6yjFPoV8n/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food122021/PaneerHariyaliTikkaMasala.jpg,,
Paneer Banjara Tikka Masala,ProductType,6,"Inventory,Food,Restaurant,Entree,Vegeterian,",240,,https://drive.google.com/file/d/1Tl5uo1Dwjo57aom6kSiV_-glU2yn_aM7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food122021/PaneerBanjaraTikkaMasala.jpg,,
Paneer Lababdar,ProductType,7,"Inventory,Food,Restaurant,Entree,Vegeterian,",240,,https://drive.google.com/file/d/1klQ6gkZcDP9VZtjnp8INcM4dPmLs2AJe/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerLababdar.jpg,,
Paneer Jalrani Tikka Masala,ProductType,8,"Inventory,Food,Restaurant,Entree,Vegeterian,",240,,https://drive.google.com/file/d/1ye6-hF0QIps3pxIc8pHqNGpIwl_pfAfS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food122021/PaneerJalraniTikkaMasala.jpg,,
Paneer Mughlai Tikka,ProductType,9,"Inventory,Food,Restaurant,Entree,Vegeterian,",240,,https://drive.google.com/file/d/1-RMzwy6LUUXSKWPENUnTdY391AdVATs7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food122021/PaneerMughlaiTikka.jpg,,
Paneer Roasted Tikka Masala,ProductType,10,"Inventory,Food,Restaurant,Entree,Vegeterian,",240,,https://drive.google.com/file/d/1v7KeNoSPqoWw8tk46QHTCvAOYYEm6HI1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food122021/PaneerRoastedTikkaMasala.jpg,,
Jeera Dal,ProductType,11,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,,https://drive.google.com/file/d/1EJ7aQXFCzNGyeOGe3YgKlynwaIM20zh1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/JeeraDal.jpg,,110
Dal Fry,ProductType,12,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,,https://drive.google.com/file/d/1K8tvnEHHFvnC05dq2Qx-p-dJ1RZDhOaK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/DalFry.jpg,,110
Dal Tadka,ProductType,13,"Inventory,Food,Restaurant,Entree,Vegeterian,",110,,https://drive.google.com/file/d/14RUwq8nVglapT24psGzGu5oLTx-UOZB7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/DalTadka.jpg,,110
