label,nodeType,order,path,price,description,link,imageLink
Shakes,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Shakes.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Shakes,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Shakes,",,,,
Brownie Shake,ProductType,4,"Inventory,Food,Restaurant,Shakes,Vegeterian,",100,,https://drive.google.com/file/d/1LUzsurjnvQTxTD0dLLkSRn3ns4qA9T-0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BrownieShake.jpg
Oreo Shake,ProductType,5,"Inventory,Food,Restaurant,Shakes,Vegeterian,",100,,https://drive.google.com/file/d/1e_eFRRnkBekms2_ce6lXpp43RDyRtZQu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/OreoShake.jpg
Kit Kat Shake,ProductType,6,"Inventory,Food,Restaurant,Shakes,Vegeterian,",100,,https://drive.google.com/file/d/18Ema0CfR8oH5SoBJIKCWdyfx6o9Tbq0c/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KitkatShake.jpg
Beverages,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Beverages.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Beverages,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Beverages,",,,,
Cold Coffee,ProductType,4,"Inventory,Food,Restaurant,Beverages,Vegeterian,",90,,https://drive.google.com/file/d/12q3woJzjR7FpBQfmLThIsX0ExUZ8wRPo/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ColdCoffee.jpg
Hot Coffee,ProductType,5,"Inventory,Food,Restaurant,Beverages,Vegeterian,",50,,https://drive.google.com/file/d/1cfiDDRvwcGudhk_KsazZCi2zso-l8t3e/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/HotCoffee.jpg
Hot Tea,ProductType,6,"Inventory,Food,Restaurant,Beverages,Vegeterian,",50,,https://drive.google.com/file/d/11Fe2b85HXyqyNmX2QQiEdLEZFZA4OGQQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01062022/HotTea.jpg
Mocktails,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1fTXHVs3UMykOSulMgLwMzwk8qxEC5COK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/mocktails.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Mocktails,",,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Mocktails,",,,,
Red Bull,ProductType,4,"Inventory,Food,Restaurant,Mocktails,Vegeterian,",130,,https://drive.google.com/file/d/1lvhGLplsON2584KY98gxxUIT9GPTGyIi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Red-Bull.jpg
Lemonade,ProductType,5,"Inventory,Food,Restaurant,Mocktails,Vegeterian,",80,,https://drive.google.com/file/d/1XR_CqTQ_8w0NL-MSFWc_KC9EysvX8VF4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220226/Lemonade.jpg
Blue Butterfly,ProductType,6,"Inventory,Food,Restaurant,Mocktails,Vegeterian,",80,,https://drive.google.com/file/d/1-dl4ze25StoeiVZitJNyDXUUUMoSja_i/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01062022/BlueButterfly.jpg
Mohito,ProductType,7,"Inventory,Food,Restaurant,Mocktails,Vegeterian,",80,,,
Coke Tin,ProductType,8,"Inventory,Food,Restaurant,Mocktails,Vegeterian,",50,,,
Veg Snacks,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1D-Nog4z8En2b458mwiL_0-7ohryNjyVy/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220306/VegSnacks.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Snacks,",,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Veg Snacks,",,,,
Sankets Sizzler,ProductType,4,"Inventory,Food,Restaurant,Veg Snacks,Vegeterian,",250,,https://drive.google.com/file/d/1YBG-deNiaI-8yIopnKtH3MrfAduNH6Qm/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01062022/SanketsSizzler.jpg
BBQ Crispy,ProductType,5,"Inventory,Food,Restaurant,Veg Snacks,Vegeterian,",180,,https://drive.google.com/file/d/164A12P_ptflVGEyaf__ih19KHkHFjJfw/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01062022/BBQCrispy.jpg
Cheese Shorts,ProductType,6,"Inventory,Food,Restaurant,Veg Snacks,Vegeterian,",120,,https://drive.google.com/file/d/16QNK4V3fU4kJ8gcL7ep43X5Ed4K4DRro/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01062022/CheeseShorts.jpeg
Veg Nuggets,ProductType,7,"Inventory,Food,Restaurant,Veg Snacks,Vegeterian,",120,,https://drive.google.com/file/d/1_Nd40LwWSBgEOxeeeKMcq1RVdnml3h56/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01062022/CheeseShorts.jpeg
Italian Fries,ProductType,8,"Inventory,Food,Restaurant,Veg Snacks,Vegeterian,",120,,https://drive.google.com/file/d/15mIvT4VNDhU-juuf6yrdJimvyFc_locF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01062022/ItalianFries.jpg
Kungpao Fries,ProductType,9,"Inventory,Food,Restaurant,Veg Snacks,Vegeterian,",120,,,
Peri Peri Fries,ProductType,10,"Inventory,Food,Restaurant,Veg Snacks,Vegeterian,",100,,https://drive.google.com/file/d/1Xca3b3wbJDb1PAW3FCV9gz2n_PJ_nMGj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PeriPeriFries.jpg
French Fries,ProductType,11,"Inventory,Food,Restaurant,Veg Snacks,Vegeterian,",90,,https://drive.google.com/file/d/1OkJBwMbikkeQriYIH41haxxTopeFdL7y/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/FrenchFries.jpg
Cheese Chilly Garlic Toast,ProductType,12,"Inventory,Food,Restaurant,Veg Snacks,Vegeterian,",90,,https://drive.google.com/file/d/19-OgT0rDxWhGCGMJUjswBVJPnQoee65u/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01062022/CheeseChillyGarlicToast.jpg
Veg Burgers,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1Ajv5QoexTKF3OvrNSOCn2_jhtouLjZLP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01062022/VegBurgers.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Burgers,",,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Veg Burgers,",,,,
Aloo Tikki Burger,ProductType,4,"Inventory,Food,Restaurant,Veg Burgers,Vegeterian,",120,,https://drive.google.com/file/d/1PEIcTAasovQPy8im_wFljuWMW_T-Ioz5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AlooTikkiBurger.jpg
Bombay Grill Burger,ProductType,5,"Inventory,Food,Restaurant,Veg Burgers,Vegeterian,",120,,https://drive.google.com/file/d/1hxw9xbQSOK-ZZIf1gXQ7LsC84EWDHmcm/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01062022/BombayGrillBurger.jpg
Crispy Burger,ProductType,6,"Inventory,Food,Restaurant,Veg Burgers,Vegeterian,",120,,https://drive.google.com/file/d/1uOf-2T1wIdSxw0HwppJQcCM6O03x-Lf_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01062022/CrispyBurger.jpg
Tandoori Burger,ProductType,7,"Inventory,Food,Restaurant,Veg Burgers,Vegeterian,",140,,https://drive.google.com/file/d/1wcOjSSb4-XNfy01hMC2n5aLc6u3_2_nT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tandoori-Burger.jpg
Desserts,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Desserts.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Desserts,",,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Desserts,",,,,
Hot Sizzling Brownie,ProductType,4,"Inventory,Food,Restaurant,Desserts,Vegeterian,",200,,https://drive.google.com/file/d/1esuM8UuOXLN9t-gEW9GO_VQuZEBfhXxJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01062022/HotSizzlingBrownie.jpg
