label,nodeType,order,path,price,description,link,imageLink,Swiggy ,Zomato
Pizza,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food1/pizza.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Pizza,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Pizza,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Plain Veg Cheese Pizza,ProductType,4,"Inventory,Food,Restaurant,Pizza,Vegeterian,",99,,https://drive.google.com/file/d/1V8hr_yutUDr8jqoD3qVyDG9Nb1JUGkCE/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/PlainVegCheesePizza.jpg,,99
Cheese Tomato Pizza,ProductType,5,"Inventory,Food,Restaurant,Pizza,Vegeterian,",99,,https://drive.google.com/file/d/1e-3BI8h9Ur5vjMJL_JB0NNkRr3Oz_RtH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CheeseTomatoPizza.jpg,,99
Cheese Onion Pizza,ProductType,6,"Inventory,Food,Restaurant,Pizza,Vegeterian,",99,,https://drive.google.com/file/d/1RvhUhqGOaREMPqHhFCbM393UrL-DXirN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CheeseOnionPizza.png,,99
Mix Veg Pizza,ProductType,7,"Inventory,Food,Restaurant,Pizza,Vegeterian,",130,,https://drive.google.com/file/d/1nwVmppx9G2I-puiGQE8Jaq5OXUqrYcI5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MixVegPizza.jpg,,130
Corn Cheese Pizza,ProductType,8,"Inventory,Food,Restaurant,Pizza,Vegeterian,",140,,https://drive.google.com/file/d/19gmmeezVqtRekMi-uLLXeUHopbsxh5Qd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/CornCheesePizza.jpg.crdownload.jpg,,140
Marghrita Pizza,ProductType,9,"Inventory,Food,Restaurant,Pizza,Vegeterian,",145,,https://drive.google.com/file/d/11UVZW5oy0tOD3kVArkH2gxaE6pLiWP21/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/MarghritaPizza.jpg,,145
Tomato Corn Cheese Pizza,ProductType,10,"Inventory,Food,Restaurant,Pizza,Vegeterian,",145,,https://drive.google.com/file/d/1-bQQwJb1cWvbtYT7VwSQq2x1JAq_hFGN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodimagelinks/TomatoCornCheesePizza.jpg,,145
Double cheese Raa's Pizza,ProductType,11,"Inventory,Food,Restaurant,Pizza,Vegeterian,",160,,https://drive.google.com/file/d/17atZG-_ULs80BBcA4RUblBj_Wzz5fRw8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/DoublecheeseRaasPizza.jpg,,160
Cheese Capsicum Pizza,ProductType,12,"Inventory,Food,Restaurant,Pizza,Vegeterian,",150,,https://drive.google.com/file/d/1cXoSjJgQMSAqgoITi2g5968g3TsC6VH5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodimagelinks/CheeseCapsicumPizza.jpg,,150
Paneer Cheese Pizza,ProductType,13,"Inventory,Food,Restaurant,Pizza,Vegeterian,",170,,https://drive.google.com/file/d/14EbbA2xKHL5PYyxe0WLpEVewl4er8b4b/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerCheesePizza.jpg,,170
Grill Sandwich,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1ygFBSs1vNv5OKl_ymXH1YvILt0qmAzp3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/GrillSandwich.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Grill Sandwich,",,,,,,
