label,nodeType,order,path,price,link,imageLink,Swiggy,description
Entree,ProductClass,1,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/Entree.jpg,,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Entree,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Vegetarian ,ProductLine,3,"Inventory,Food,Restaurant,Entree,",,,,,
Chicken Handi,ProductType,4,"Inventory,Food,Restaurant,Entree,NonVegeterian,",80,https://drive.google.com/file/d/1RMADFPBuSEsBClMMjRRF3Ywu4mtb54pt/view?usp=sharing,,,
Chicken Handi Full,ProductUnit,5,"Inventory,Food,Restaurant,Entree,NonVegeterian,Chicken Handi,",80,https://drive.google.com/file/d/1LabfJ7U7HGWmo2mIPWym0Wm76D0yr7tH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenHandiFull.jpg,,
Chicken Handi Half,ProductUnit,6,"Inventory,Food,Restaurant,Entree,NonVegeterian,Chicken Handi,",50,https://drive.google.com/file/d/1XLzwK9SmXm48SjgSpen2LYnKWNg5f2Pv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenHandiHalf.jpg,,
Chicken 65,ProductType,7,"Inventory,Food,Restaurant,Entree,NonVegeterian,",80,https://drive.google.com/file/d/1KiB00yMYljrQJTd8pi_-yERqqS-9omgS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Chicken65.jpg,,
Chicken Masala,ProductType,8,"Inventory,Food,Restaurant,Entree,NonVegeterian,",100,https://drive.google.com/file/d/16eM27vE_lLNM8GKZT5a35PjfaUi0laY9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenMasala.jpg,,
Chicken Khurma,ProductType,9,"Inventory,Food,Restaurant,Entree,NonVegeterian,",80,https://drive.google.com/file/d/10nrNRXUi6Uw4oFmUzusjS2VYbxj9yDmq/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenKhurma.jpg,,
Chicken Fry,ProductType,10,"Inventory,Food,Restaurant,Entree,NonVegeterian,",80,https://drive.google.com/file/d/1mWmrLNgJfrNpnzlbAzFVibM_tkVFr_ge/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenFry.jpg,,
Chicken Leg Piece,ProductType,11,"Inventory,Food,Restaurant,Entree,NonVegeterian,",60,https://drive.google.com/file/d/1ODdpZhyNV57PXbgk6pBg5Q8D-M37-6jZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenLegPiece.jpg,,
Chicken Boneless,ProductType,12,"Inventory,Food,Restaurant,Entree,NonVegeterian,",120,,,,
Chicken Lolipop,ProductType,13,"Inventory,Food,Restaurant,Entree,NonVegeterian,",150,https://drive.google.com/file/d/1DIWmP2-gzJpyfkJAbYYPaH8vFPHOj4J5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenLolipop.jpg,,
Chicken Curry,ProductType,14,"Inventory,Food,Restaurant,Entree,NonVegeterian,",100,https://drive.google.com/file/d/1dU5-tSB4k1PcuEGJMCv4sWBNDgUrp2y5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenCurry.jpg,,
Mutton Masala,ProductType,15,"Inventory,Food,Restaurant,Entree,NonVegeterian,",150,https://drive.google.com/file/d/1-4YOHkbknBQIIukm4yZwJM6f8unGYrqS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/NonVegeterian/MuttonMasala.jpg,,
Mutton Curry,ProductType,16,"Inventory,Food,Restaurant,Entree,NonVegeterian,",150,https://drive.google.com/file/d/1CP3wcgWMWMVL_sPTGa280Id7ztTSw8-C/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/NonVegeterian/MuttonCurry.jpg,,
Macchi Curry,ProductType,17,"Inventory,Food,Restaurant,Entree,NonVegeterian,",100,https://drive.google.com/file/d/1idcNBOX5hpJ_7_NEnJS2bzRUVv_NNIyi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MacchiCurry.jpg,,
Machhi Fry,ProductType,18,"Inventory,Food,Restaurant,Entree,NonVegeterian,",60,https://drive.google.com/file/d/160lzrisEL17BW90RbpF7I-hU13nYg0ch/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MachhiFry.jpg,,
Anda Curry,ProductType,19,"Inventory,Food,Restaurant,Entree,NonVegeterian,",60,https://drive.google.com/file/d/1BCryV9DFuzGTHFf0DaHehExwimD3aw2Z/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AndaCurry.jpg,,
Rice,ProductClass,1,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Rice.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Rice,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
Non Vegetarian ,ProductLine,3,"Inventory,Food,Restaurant,Rice,",,,,,
