label,nodeType,order,path,price,description,link,imageLink,Swiggy,Zomato
Noodles,ProductClass,1,"Inventory,Food,Restaurant,",,,,,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Noodles,",,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Noodles,",,,,,,
Veg Noodles,ProductType,4,"Inventory,Food,Restaurant,Noodles,Vegeterian,",160,,,,200,200
Veg Hakka Noodles,ProductType,5,"Inventory,Food,Restaurant,Noodles,Vegeterian,",200,,,,240,250
Schezwan Noodles,ProductType,6,"Inventory,Food,Restaurant,Noodles,Vegeterian,",220,,,,260,270
Veg Manchurian Noodles,ProductType,7,"Inventory,Food,Restaurant,Noodles,Vegeterian,",240,,,,280,300
Paneer Mushroom Noodles,ProductType,8,"Inventory,Food,Restaurant,Noodles,Vegeterian,",280,,https://drive.google.com/file/d/1lYxKq_2rsHtzzyV8VTx4Cn9JsdQ9gG11/view?usp=sharing,,320,350
Combination Noodles,ProductType,9,"Inventory,Food,Restaurant,Noodles,Vegeterian,",280,,,,320,350
Singapore Noodles,ProductType,10,"Inventory,Food,Restaurant,Noodles,Vegeterian,",300,,,,340,350
Hong Kong Noodles,ProductType,11,"Inventory,Food,Restaurant,Noodles,Vegeterian,",300,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220216/HongKongNoodles.jpg,340,350
Bowls,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1cH3TAJ4S3PPcfGfwB17r36hbzYmU_5Xx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220216/Bowlsjpg.crdownload.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Bowls,",,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Bowls,",,,,,,
Sambhar Rice Bowl,ProductType,4,"Inventory,Food,Restaurant,Bowls,Vegeterian,",140,,https://drive.google.com/file/d/1alBSFcCDVWSqo5BNyBCABnCe3evBxcCl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220216/SambharRiceBowl.jpg,180,180
