label,nodeType,order,path,price,description,link,imageLink
Snacks,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/Smiley.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Snacks,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Snacks,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
Bread Butter Jam,ProductType,4,"Inventory,Food,Restaurant,Snacks,Vegeterian,",25,,https://drive.google.com/file/d/1Ba37LLXhu4CmoxPS3xwsP_rNl-y5YdC4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/BREADBUTTERJAM.jpg
Toast Butter Jam,ProductType,5,"Inventory,Food,Restaurant,Snacks,Vegeterian,",30,,https://drive.google.com/file/d/15JWhpyngVVWlvAqRHV6EwJcXBsG9ZVox/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodpendinglinks20220531/ToastButterJam.jpg
Aloo Paratha,ProductType,6,"Inventory,Food,Restaurant,Snacks,Vegeterian,",55,,https://drive.google.com/file/d/1-e7xl7ssjjkFNLd1vWJF_Hp9o9FVEZyS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AlooParatha.jpg
Aloo Paratha With Curd,ProductType,7,"Inventory,Food,Restaurant,Snacks,Vegeterian,",55,,https://drive.google.com/file/d/1xa4tGyQWmHEbfPSggxXljqGUz9zK90K4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/grocery20220203/AlooParathaWithCurd.jpg
Cheese Paratha,ProductType,8,"Inventory,Food,Restaurant,Snacks,Vegeterian,",65,,https://drive.google.com/file/d/1ZXezDMNy4yH-9lbCxb77VqlxQ0UmwfQv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CheeseParatha.jpg
Paneer Paratha,ProductType,9,"Inventory,Food,Restaurant,Snacks,Vegeterian,",75,,https://drive.google.com/file/d/1I-rBvyFffhbWe6DuK4DOPx_Y3S66DnHx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerParatha.jpg
Pav Bhaji,ProductType,10,"Inventory,Food,Restaurant,Snacks,Vegeterian,",70,,https://drive.google.com/file/d/1k_uUCECpwnv5CmChzGwV97KAx-OjujZx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PavBhaji.jpg
Puri Bhaji,ProductType,11,"Inventory,Food,Restaurant,Snacks,Vegeterian,",75,,https://drive.google.com/file/d/1c_oQ60JkRMIn0-mQiPpe_55Q96Zhvx3E/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PuriBhaji.png
Chole Puri,ProductType,12,"Inventory,Food,Restaurant,Snacks,Vegeterian,",100,,https://drive.google.com/file/d/141_Ry3HE_KFC4zjfbzAjXskbqptZJBea/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/CholePuri.jpg
Finger Chips,ProductType,13,"Inventory,Food,Restaurant,Snacks,Vegeterian,",180,,https://drive.google.com/file/d/1WqsZvM7FYMNNTf5L-ia1UO8zPhtnxOAt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/FingerChips.jpg
Onion Bhaji,ProductType,14,"Inventory,Food,Restaurant,Snacks,Vegeterian,",60,,https://drive.google.com/file/d/1xu9ntoRoFcVNkS7In5ahwLmVoq3rzUxV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/OnionBhaji.jpg
Mix Pakoda,ProductType,15,"Inventory,Food,Restaurant,Snacks,Vegeterian,",85,,https://drive.google.com/file/d/1B8nlMxSnVDk54de4vUS_mTtm5bMHNhgh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MixPakoda.jpg
Poha,ProductType,16,"Inventory,Food,Restaurant,Snacks,Vegeterian,",50,,https://drive.google.com/file/d/1C1VIAEcUgAVE98U1_a1ZxX8cV2Twhf1E/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Poha.jpg
Upma,ProductType,17,"Inventory,Food,Restaurant,Snacks,Vegeterian,",55,,https://drive.google.com/file/d/13GQTe4OiqscBJk7ZffGulypnLQLHUbGI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Upma.jpg
Lassi,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1z2BJrtvZR9kkdK-COuqLNCQlIbTJNxnX/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Lassi.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Lassi,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
Sweet Lassi,ProductType,4,"Inventory,Food,Restaurant,Lassi,Vegeterian,",55,,https://drive.google.com/file/d/1JUZ2Orfl0bTLnH_N3nLYLAtL4BK6gClO/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Sweetlassi.jpg
Salted Lassi,ProductType,5,"Inventory,Food,Restaurant,Lassi,Vegeterian,",50,,https://drive.google.com/file/d/1YQcvgo_Ru2Zj7dGt2uzJ9ay5e9us1j74/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/SaltedLassi.jpg
Kaju Lassi,ProductType,6,"Inventory,Food,Restaurant,Lassi,Vegeterian,",75,,https://drive.google.com/file/d/1jQnZ7Nw9XleSAVvWk3i9Q6UJxiAzVkNu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/kajulassi.png
MilkShakes,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1eHh6pJTXRV9a5IOnx_w-MixJRI6CygrO/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/Milkshakes.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,MilkShakes,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,MilkShakes,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
Chocolate Milk Shake,ProductType,4,"Inventory,Food,Restaurant,MilkShakes,Vegeterian,",70,,https://drive.google.com/file/d/1GAjSfbm10dvCYgcQgx5oCyFMYoVb_W_z/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/ChocolateMilkShake.jpg
Strawberry Milk Shake,ProductType,5,"Inventory,Food,Restaurant,MilkShakes,Vegeterian,",70,,https://drive.google.com/file/d/1Hw6hhLol8lioR4rZ7bw2hTYltDyyj_Ei/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/StrawberryMilkShake.jpg
Mango Milk Shake,ProductType,6,"Inventory,Food,Restaurant,MilkShakes,Vegeterian,",70,,https://drive.google.com/file/d/15r_5rNaKg3JKdHknCmBypXseL77JOfOc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/MangoMilkShake.jpg
Milk Rose,ProductType,7,"Inventory,Food,Restaurant,MilkShakes,Vegeterian,",70,,https://drive.google.com/file/d/1cylBpmVz9JHyd2m3Qjrev8Jz5MsgzXy7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01062022/MilkRose.jpg
Beverages,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Beverages.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Beverages,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Beverages,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
Tea,ProductType,4,"Inventory,Food,Restaurant,Beverages,Vegeterian,",20,,https://drive.google.com/file/d/1fd2gFK13kA_Nc4iEqwyT__x9hmcV5BvG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tea.jpg
Coffee,ProductType,5,"Inventory,Food,Restaurant,Beverages,Vegeterian,",25,,https://drive.google.com/file/d/1Euh2dH6rEeREBGnpoYhanuCocHz7zE4U/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Coffee.jpg
Milk Glass,ProductType,6,"Inventory,Food,Restaurant,Beverages,Vegeterian,",30,,https://drive.google.com/file/d/1qMOVX-ZaAOizer-uyA2A3jRaNGTIuUAg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220511/MilkGlass.jpg
Cup Milk,ProductType,7,"Inventory,Food,Restaurant,Beverages,Vegeterian,",20,,https://drive.google.com/file/d/1NOlM4jiPkcI7Ve-bhKODEUxBkQkzr4bz/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01062022/CupMilk.jpeg
Hot Chocolate Milk,ProductType,8,"Inventory,Food,Restaurant,Beverages,Vegeterian,",60,,https://drive.google.com/file/d/1uoo8clP5jey0N0w9DbuPAVIq0sh39o2q/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01062022/HotChocolateMilk.jpg
Bournvita,ProductType,9,"Inventory,Food,Restaurant,Beverages,Vegeterian,",50,,https://drive.google.com/file/d/1EOOH7iOV2Q2SSTQalh1nicOec_BFmjTY/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/Bournvita.jpg
Fresh Lime Water,ProductType,10,"Inventory,Food,Restaurant,Beverages,Vegeterian,",30,,https://drive.google.com/file/d/1Nb2hCv9QtkXOgJZXvMzPVWV4mljtCmJc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/FreshLimeWater.jpg
Fresh Lime Soda,ProductType,11,"Inventory,Food,Restaurant,Beverages,Vegeterian,",40,,https://drive.google.com/file/d/1XWxK7uoHR0YdXYlWzRSpVWnyAKPqSJfd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/FreshLimeSoda.jpg
Butter Milk,ProductType,12,"Inventory,Food,Restaurant,Beverages,Vegeterian,",25,,https://drive.google.com/file/d/1are1xYhfCVHfLjq7qgYAF6KOq6Zn4w07/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ButterMilk.jpg
South Indian,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1ftRK6XcZLvpcsKlFAPWjEk0y74F3b1A8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01062022/SouthIndian.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,South Indian,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,South Indian,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
Medu Vada,ProductType,4,"Inventory,Food,Restaurant,South Indian,Vegeterian,",60,,https://drive.google.com/file/d/1L03nquyL_3smUJHJRw3DMuvTFmkRuXsM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/MeduVada.jpg
Idli,ProductType,5,"Inventory,Food,Restaurant,South Indian,Vegeterian,",60,,https://drive.google.com/file/d/1WtX7q-cTFbqcE0y1XfEbdUyRXfQT0ai_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-5/Idli.jpg
