label,nodeType,order,path,price,description,ingredients,link,imageLink
Soups,ProductClass,1,"Inventory,Food,Restaurant,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Soup.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Soups,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,,"Inventory,Food,Restaurant,Soups,",,,,,
Veg Manchow Soup,ProductType,3,"Inventory,Food,Restaurant,Soups,Vegeterian,",60,,"  Oil,  Garlic,  Ginger,,  Green Chilies,  Mixed Vegetable,  Vegetable Stockwater,  green Chili Sauce,  Soy sauce,  Vinegar,Salt to taste,  black Pepper Powder,  Corn Flour, (Mix with   water),Fried noodles.",https://drive.google.com/file/d/1ZHfj80mG4nonkD938YcNcqpsbo76_3Bh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/vegManchowSoup.jpg
Tomato Soup,ProductType,4,"Inventory,Food,Restaurant,Soups,Vegeterian,",60,,"  chopped fresh tomatoes, slice onion, cloves garlic,  chicken broth,  butter,  allpurpose flour,  salt,  white sugar, or to taste.",https://drive.google.com/file/d/1qhWW38vtbUr23w3F0uYayqtGNJhxmiYf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tomato-Soup.jpg
Hot & Sour Soup,ProductType,5,"Inventory,Food,Restaurant,Soups,Vegeterian,",60,,"Oil,  finely chopped Onion,  finely chopped Ginger,  finely chopped Garlic,  finely chopped Cabbage,  finely chopped Green French Beans,  finely chopped Carrot,  finely chopped Carrot,  finely chopped Capsicum ,    Vegetable Stock or Water, sCornflour ,  Soy Sauce,  Chilli Sauce,  Black Pepper Powder,Salt to taste.",https://drive.google.com/file/d/1teNyAur_VckwNp4ujk5k5x5svxiTBSGq/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/HotSourSoup.jpg
Singapuri Soup,ProductType,6,"Inventory,Food,Restaurant,Soups,Vegeterian,",60,,,https://drive.google.com/file/d/1vY1XPLrdkwnLrEBq3QiHHZFDz4eNC0P_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/SingapuriSoup.jpg
Noodles Soup,ProductType,7,"Inventory,Food,Restaurant,Soups,Vegeterian,",60,,"  noodles,  chilli oil, onion, chopped, garlic cloves, finely chopped, ginger, green chilli,  curry powder,  curry paste, jar vegetable stock,  lime juice,  coconut milk,  soya sauce,  chicken strips, lemons,Coriander leaves,Salt and pepper.",https://drive.google.com/file/d/1MTOXbQIRsTKicDIajKuuBdQQdeQ4ijPs/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/NoodlesSoup.jpg
Mushroom Soup,ProductType,8,"Inventory,Food,Restaurant,Soups,Vegeterian,",70,,"  unsalted butter, garlic cloves, shallot, ounces crimini mushrooms,, ounces white button mushrooms,  allpurpose flour,  chicken stock,  fine sea salt, or to taste,  ground black pepper, or to taste,",https://drive.google.com/file/d/1IJRfO1JqfR7_7ZNQPd9ykGx1I3G6__4i/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MushroomSoup.jpg
Mix Soup,ProductType,9,"Inventory,Food,Restaurant,Soups,Vegeterian,",70,,,https://drive.google.com/file/d/1NZ4dNb6iBUPobxVMGuOoTS9GuaKDSXj9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MixSoup.jpg
Breakfast,ProductClass,1,"Inventory,Food,Restaurant,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Breakfast.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Breakfast,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Breakfast,",,,,,
Spl Pavbhaji,ProductType,4,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",50,,"  Cauliflower,  Carrot,  French Beans, Capsicum,  Potatoes,  Oil,   Onion,  Ginger Garlic paste,  Tomatoes,  Turmeric,  Red Chili Powder,   Pav Bhaji masala,Salt to taste,  Butter, Ladi Pavs,  Butter.",https://drive.google.com/file/d/11hETRXI8dsTC3HF50CDK1H3W4-SCOjg9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/SplPavBhaji.jpg
Butter Pavbhaji,ProductType,5,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",70,,"  Cauliflower,  Carrot,  French Beans, Capsicum,  Potatoes,  Oil,   Onion,  Ginger Garlic paste,  Tomatoes,  Turmeric,  Red Chili Powder,   Pav Bhaji masala,Salt to taste,  Butter, Ladi Pavs,  Butter.",https://drive.google.com/file/d/1ArO3Cpc9vRqLZf3xrNT4GWHAXqWY7wy9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/ButterPavBhaji.jpg
Jain Pavbhaji,ProductType,6,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",80,," Raw Banana, Tomatoes,  Cauliflower Florets,.  Green Peas,. Capsicum,  Oil,  Pav Bhaji Masala,.  Turmeric Powder,  Red Chilli Powder,Handful of Coriander leaves,Salt to taste,Water as required,Butter to serve .",https://drive.google.com/file/d/14N3_Xp4ZWjOwQukokmRZ_IOw27WwG0xL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/10222/JainPavBhaji.jpg
Paneer Pavbhaji,ProductType,7,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",70,,"  Paneer, potato, carrot,  Frozen peas, Beetroot, Capsicum, Tomato, onion,  Ginger garlic paste, tblsp Butter,  oil,  Pav bhaji masala,Salt as needed,  Cumin seeds,Coriander leaves to garnish.",https://drive.google.com/file/d/1wLsBXei6KpvGBwZAedJP5kX7tTMl4XIM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerPavBhaji.jpg
Dryfruit Pavbhaji,ProductType,8,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",90,,"  Cauliflower,  Carrot,  French Beans, Capsicum,  Potatoes,  Oil,   Onion,  Ginger Garlic paste,  Tomatoes,  Turmeric,  Red Chili Powder,   Pav Bhaji masala,Salt to taste,  Butter, Ladi Pavs,  Butter,Dryfruits.",https://drive.google.com/file/d/1WY_gV3J9fZEJIs9-Ut3IUaHWfb9E0_YD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/DryfruitPavbhaji.jpg
Cheese Pavbhaji,ProductType,9,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",90,,"  Cauliflower,  Carrot,  French Beans, Capsicum,  Potatoes,  Oil,   Onion,  Ginger Garlic paste,  Tomatoes,  Turmeric,  Red Chili Powder,   Pav Bhaji masala,Salt to taste,  Butter, Ladi Pavs,  Butter,Cheese.",https://drive.google.com/file/d/1PqEcuK6Wv1P9GmI2lsuX2caCz8_c2eux/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/CheesePavBhaji.jpg
Extra Pav,ProductType,10,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",15,,,https://drive.google.com/file/d/1zYqEN7zZK3kGGbNA9YdfHQqIKF7dB0-k/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ExtraPav.jpg
Rice,ProductClass,1,"Inventory,Food,Restaurant,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Rice.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Rice,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Rice,",,,,,
Fried Rice,ProductType,4,"Inventory,Food,Restaurant,Rice,Vegeterian,",70,,""" ​ veg oil,  onion diced, carrot,  cut zucchini,Fresh green peas from  pods, Green chillies,  tomato,  black pepper,  salt,  oregano,  chilli flakes""",https://drive.google.com/file/d/1DIwrqLBQA06tZTNutwX-gYSolgANQhBp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/FriedRice.jpg
Schezwan Rice,ProductType,5,"Inventory,Food,Restaurant,Rice,Vegeterian,",70,,"  cooked Plain Rice, Mixed Vegetables (french beans, carrot, capsicum, cabbage, celery), cloves of Garlic, finely chopped (approx.  ),  Schezwan Sauce,Salt to taste,etc",https://drive.google.com/file/d/1GKO3YVjZ7d_a-_WJkiE7mWyZFQFK7k-u/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Schezwan-Rice.jpg
Singapuri Rice,ProductType,6,"Inventory,Food,Restaurant,Rice,Vegeterian,",70,,"   long grain rice,   garlic chopped,   leek or spring onions,   bell peppers (red, green and yellow),   peri peri sauce,   chilli garlic sauce,   light soya sauce,etc",https://drive.google.com/file/d/15uJPTxX70D9dvD31hFNjgNhgOfpKk-BE/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food122021/SingapuriRice.jpg
HongKong Rice,ProductType,7,"Inventory,Food,Restaurant,Rice,Vegeterian,",70,,"  cooked rice,  french beans chopped,  carrot chopped,  capsicum chopped, onion chopped,  soy sauce,  red chilli sauce,  peppercorn crushed,  cooking oil,salt to taste,etc",https://drive.google.com/file/d/114um__VgOZglIrXc3Okch9kIktz3egnt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/HongKongRice.jpg
Manchurian Rice,ProductType,8,"Inventory,Food,Restaurant,Rice,Vegeterian,",90,,"  rice washed and soaked,  vinegar,  cornflour,  maida,  chopped green onion,For Manchurian....   grated or finely chopped veggies (carrot, capsicum, cabbage, green onion),  red chilli sauce,  chopped green onion,  soya sauce, black pepper, chopped carrot, onion chopped,",https://drive.google.com/file/d/1Ch4wLqTOpUXAlrKTThDvGYmRd1iScQGs/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ManchurianRice.jpg
Kashmiri Pulav,ProductType,9,"Inventory,Food,Restaurant,Rice,Vegeterian,",100,,"  basmati rice,  cumin seeds, cloves, stick cinnamon, cardamom, bay leaf,  milk,  fresh creambeaten,  sugar,Salt to taste,  ghee,  dried fruits, edible rose petals.",https://drive.google.com/file/d/1WS70TmGf55XCNXOHfWjWGGCbVLxicy6b/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KashmiriPulav.jpg
Paneer Rice,ProductType,10,"Inventory,Food,Restaurant,Rice,Vegeterian,",100,,"  Basmati Rice ,  Paneer, cubed, large Onion,  grated Ginger,  crushed Garlic, Green Chilli, finely chopped,  Green Peas,inch piece of Cinnamon, Cloves,  piece of Bay Leaf,  Lemon Juice,  Water,  or to taste Salt,     Oil,  Ghee,  Coriander Leaves.",https://drive.google.com/file/d/1qalwVk9KrX2QFZ98LDBcBc1_bBj70eUp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/PaneerRice.jpg
Paneer Pulav,ProductType,11,"Inventory,Food,Restaurant,Rice,Vegeterian,",100,,"  Basmati Rice,  Paneer, large Onion,  grated Ginger,  crushed Garlic, Green Chilli, finely chopped,  Green Peas,inch piece of Cinnamon, Cloves,  piece of Bay Leaf,  Lemon Juice,  Water,  or to taste Salt,     Oil,  Ghee,  Coriander Leaves.",https://drive.google.com/file/d/177oVJEjOHWvKtQ8TAV3cU-UbI53mhWE/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerPulav.jpg
Cocktail Rice,ProductType,12,"Inventory,Food,Restaurant,Rice,Vegeterian,",100,,"rice    ,water  ,salt as required,red chili powder    ,coriander powder    ,cumin powder     ,garam masala powder    ,red kidney beans boiled    ,peas    ,potato cut in  pieces    ,onion cut in slices   ,tomato chopped  ,carrot cut in  cubes   ,chicken mince    ,lemon juice   ,ginger garlic paste    ,vegetable oilbutter     .",https://drive.google.com/file/d/1-W4wLFWuq3DiZndsM-VNjy6Qq-SnS7AU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CocktailRice.jpg
Veg Triple Schezwan Rice,ProductType,13,"Inventory,Food,Restaurant,Rice,Vegeterian,",100,,,https://drive.google.com/file/d/1BtO36UWsujXqUZapyRmp6o_Fn8mK9lcF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/VegTripleSchezwanRice.jpg
Paneer Triple Schezwan Rice,ProductType,14,"Inventory,Food,Restaurant,Rice,Vegeterian,",110,,,https://drive.google.com/file/d/1w2PP2qMYbj350jNcKKc958M7Rw0YoaBa/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/PaneerTripleSchezwanRice.jpg
Veg Tawa Pulav,ProductType,15,"Inventory,Food,Restaurant,Rice,Vegeterian,",110,,"  basmati rice,  of water , to  drops of oil,salt as required, large tomatoes ,  onion,  red chili powder,  turmeric powder,  cumin seeds,  Butter  to  carrot,  potato,  green peas,  lemon juice ,salt as required.",https://drive.google.com/file/d/1giMLuZ7qVNsZGequ1m-e7t0PrnxoyB1D/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/VegTawaPulav.jpg
Mushroom Rice,ProductType,16,"Inventory,Food,Restaurant,Rice,Vegeterian,",110,,,https://drive.google.com/file/d/1KF_QbR0UUrS_QKV54PLFKv_TxEi12wa5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MushroomRice.jpg
Spl Rice,ProductType,17,"Inventory,Food,Restaurant,Rice,Vegeterian,",110,,,,
Veg Pulav,ProductType,18,"Inventory,Food,Restaurant,Rice,Vegeterian,",70,,"""  Cabbage,  onions,  of capcicum,  of soya chunks,  carrots, spoon of garam masala, spoon of ginger garlic paste, spoon of jeera seeds, spoons ofsalt, spoon of ghee,  of oil,  of peas""",https://drive.google.com/file/d/1JVN_maOr1Clvt-SlU51QylwBcZng4liR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegPulav.jpg
