label,nodeType,order,path,price,description,link,imageLink
Breakfast,ProductClass,1,"Inventory,Food,restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Breakfast.jpg
Vegeterian,ProductLine,2,"Inventory,Food,restaurant,Breakfast,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,restaurant,Breakfast,",,,,
Shenga Poli,ProductType,4,"Inventory,Food,restaurant,Breakfast,Vegeterian,",40,,https://drive.google.com/file/d/1D54k6vGAib7oYAGEo4lJ3D0pBMoOeOI8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shenga-Poli.jpg
Khawa Poli,ProductType,5,"Inventory,Food,restaurant,Breakfast,Vegeterian,",40,,https://drive.google.com/file/d/1cpjFwszBDsR6hPA1J75Du-hW326GN1F8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-5/KhawaPoli.jpg
Dhapate,ProductType,6,"Inventory,Food,restaurant,Breakfast,Vegeterian,",40,,https://drive.google.com/file/d/1kehLx_OvhRGhQgcP7VyAdkRPgdJkY2xL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-5/Dhapate.jpg
Thali Pith,ProductType,7,"Inventory,Food,restaurant,Breakfast,Vegeterian,",40,,https://drive.google.com/file/d/1ntv40GoJ65OPMffyJNOrAQHCMgn_Uix6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-5/ThaliPith.jpg
Idli,ProductType,8,"Inventory,Food,restaurant,Breakfast,Vegeterian,",30,,https://drive.google.com/file/d/1WtX7q-cTFbqcE0y1XfEbdUyRXfQT0ai_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-5/Idli.jpg
Udit Vada,ProductType,9,"Inventory,Food,restaurant,Breakfast,Vegeterian,",30,,https://drive.google.com/file/d/1UcNlAkD6RFJ-YjHKIH8jCqu_9YgqCx_V/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-5/UditVada.jpg
Shira,ProductType,10,"Inventory,Food,restaurant,Breakfast,Vegeterian,",30,,https://drive.google.com/file/d/1-CKidmsaA96NbSwCxk6s9ELoac13LUry/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shira.jpg
Tomato Omlett,ProductType,11,"Inventory,Food,restaurant,Breakfast,Vegeterian,",40,,https://drive.google.com/file/d/1kCpY5YWvkBQq7gjqYYemNwc53INbA7TZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/TomatoOmlett.jpg
Puri Bhaji,ProductType,12,"Inventory,Food,restaurant,Breakfast,Vegeterian,",50,,https://drive.google.com/file/d/1c_oQ60JkRMIn0-mQiPpe_55Q96Zhvx3E/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PuriBhaji.png
Kanda Bhaji,ProductType,13,"Inventory,Food,restaurant,Breakfast,Vegeterian,",50,,https://drive.google.com/file/d/1bf5MHHTbaacB8VIZ1MJgddlOepaGQT0W/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KandaBhaji.jpg
Mirchi Bhaji,ProductType,14,"Inventory,Food,restaurant,Breakfast,Vegeterian,",50,,https://drive.google.com/file/d/1Koy_IBvMwFiy-ZmuXdfLakw1yOaYEasv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MirchiBhaji.jpg
Uttapa,ProductType,15,"Inventory,Food,restaurant,Breakfast,Vegeterian,",40,,https://drive.google.com/file/d/1qLxwKYabwTXE3C1EVxLiJ2grjeiKN9xZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Uttapa.jpg
Onion Uttapam,ProductType,16,"Inventory,Food,restaurant,Breakfast,Vegeterian,",50,,https://drive.google.com/file/d/1XYLjQ91jrBZDsVC890XhoHxvPwRpF9o2/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/OnionUttapam.jpg
Tomato Uttapa,ProductType,17,"Inventory,Food,restaurant,Breakfast,Vegeterian,",50,,https://drive.google.com/file/d/1fKiPvTkGzoC1Aijk70CkU2GKiPpgVidb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tomato-Uttapa.jpg
Masala Uttapam,ProductType,18,"Inventory,Food,restaurant,Breakfast,Vegeterian,",60,,https://drive.google.com/file/d/1gryGq86cALDsUcPaNlXyiMAtKy7F7Ls8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-5/MasalaUttapam.jpg
Plain Dosa,ProductType,19,"Inventory,Food,restaurant,Breakfast,Vegeterian,",40,,https://drive.google.com/file/d/10plRQE3QzHB9B3sYn-Iln6caUOxUAyN-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PlainDosa.jpg
Masala Dosa,ProductType,20,"Inventory,Food,restaurant,Breakfast,Vegeterian,",50,,https://drive.google.com/file/d/1_-oVk3t6Cho2sazbziKyWFSIPhSBbfKQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MasalaDosa.jpg
Mysore Dosa,ProductType,21,"Inventory,Food,restaurant,Breakfast,Vegeterian,",60,,https://drive.google.com/file/d/1jhrGDwjcxe2cPNEgpuRyxkR2HNoc733s/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MysoreDosa.jpg
Loni Dosa,ProductType,22,"Inventory,Food,restaurant,Breakfast,Vegeterian,",60,,https://drive.google.com/file/d/1Knz-pYqQ0yYfFI8KpVQCDUq6OwqzH9ic/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-5/LoniDosa.jpg
Onion Masala Dosa,ProductType,23,"Inventory,Food,restaurant,Breakfast,Vegeterian,",60,,https://drive.google.com/file/d/1IvXY4JTBwZaRZPyZFEIagLcwLmGJFCfe/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-5/OnionMasalaDosa.jpg
Paper Dosa,ProductType,24,"Inventory,Food,restaurant,Breakfast,Vegeterian,",80,,https://drive.google.com/file/d/18P7_DSAP2PRRWE2t4cq1cXZLjGwenZJQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Paper-Dosa.jpg
Schezwan Dosa,ProductType,25,"Inventory,Food,restaurant,Breakfast,Vegeterian,",90,,https://drive.google.com/file/d/1pAC6hG9_qJwogxrUmDAwXpG9Hn5bDaER/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-5/SchezwanDosa.jpg
Spring Dosa,ProductType,26,"Inventory,Food,restaurant,Breakfast,Vegeterian,",90,,https://drive.google.com/file/d/1QYgeCbLebF90Z929XhqUZLRLIeBSg1bv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-5/SpringDosa.jpg
Shabu Khichdi,ProductType,27,"Inventory,Food,restaurant,Breakfast,Vegeterian,",50,,https://drive.google.com/file/d/1cm01Yz7gDcV3bNiDRIf0ILcfP-K2Vki-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shabu-Khichdi.jpg
Shabu Vada,ProductType,28,"Inventory,Food,restaurant,Breakfast,Vegeterian,",50,,https://drive.google.com/file/d/1DNtE1jcKTF5lbVdL8YmpoojHcpPy65YY/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shabu-Vada.jpg
Dhapate,ProductType,29,"Inventory,Food,restaurant,Breakfast,Vegeterian,",40,,https://drive.google.com/file/d/1kehLx_OvhRGhQgcP7VyAdkRPgdJkY2xL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-5/Dhapate.jpg
Thali Pith,ProductType,30,"Inventory,Food,restaurant,Breakfast,Vegeterian,",40,,https://drive.google.com/file/d/1ntv40GoJ65OPMffyJNOrAQHCMgn_Uix6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-5/ThaliPith.jpg
Shenga Poli,ProductType,31,"Inventory,Food,restaurant,Breakfast,Vegeterian,",40,,https://drive.google.com/file/d/1D54k6vGAib7oYAGEo4lJ3D0pBMoOeOI8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shenga-Poli.jpg
Khawa Poli,ProductType,32,"Inventory,Food,restaurant,Breakfast,Vegeterian,",40,,https://drive.google.com/file/d/1cpjFwszBDsR6hPA1J75Du-hW326GN1F8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-5/KhawaPoli.jpg
Shenga Chutney,ProductType,33,"Inventory,Food,restaurant,Breakfast,Vegeterian,",25,,https://drive.google.com/file/d/1YZC9AmcSzG8Td5qNeRkEukPYhYlsXWs0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-5/ShengaChutney.jpeg
Thecha,ProductType,34,"Inventory,Food,restaurant,Breakfast,Vegeterian,",30,,https://drive.google.com/file/d/1hvgF1QY6mrGEnHI6SbksM7zq6fiHtlP9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Thecha.jpg
Entree,ProductClass,1,"Inventory,Food,restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/Entree.jpg
Vegeterian,ProductLine,2,"Inventory,Food,restaurant,Entree,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,restaurant,Entree,",,,,
Dal Fry,ProductType,4,"Inventory,Food,restaurant,Entree,Vegeterian,",90,,https://drive.google.com/file/d/1K8tvnEHHFvnC05dq2Qx-p-dJ1RZDhOaK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/DalFry.jpg
Dal Tadka,ProductType,5,"Inventory,Food,restaurant,Entree,Vegeterian,",100,,https://drive.google.com/file/d/14RUwq8nVglapT24psGzGu5oLTx-UOZB7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/DalTadka.jpg
Dal Kolhapuri,ProductType,6,"Inventory,Food,restaurant,Entree,Vegeterian,",100,,https://drive.google.com/file/d/1xrOq7mnzkFDeljYtoKkbDC4HMKFbZsJH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DalKolhapuri.jpg
Butter Dal Fry,ProductType,7,"Inventory,Food,restaurant,Entree,Vegeterian,",100,,https://drive.google.com/file/d/1BgEdfz1Yr29_ISbzBVk6eQVr9v_-bZHO/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ButterDalfry.jpg
Dal Methi,ProductType,8,"Inventory,Food,restaurant,Entree,Vegeterian,",100,,https://drive.google.com/file/d/1nq9PyofwK5-hx9Dl-eJYxx9rubFxJeiX/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DalMethi.jpg
Paneer Patiayala,ProductType,9,"Inventory,Food,restaurant,Entree,Vegeterian,",165,,https://drive.google.com/file/d/1mMoSZsMgphYXh4vYO18hvOg6OZQOxPJK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-5/PaneerPatiayala.jpg
Veg Patiyala,ProductType,10,"Inventory,Food,restaurant,Entree,Vegeterian,",155,,https://drive.google.com/file/d/1M6FYkqQocF9gpFyWigk2hc4F7T77QhGG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegPatiyala.jpg
Veg Angara,ProductType,11,"Inventory,Food,restaurant,Entree,Vegeterian,",155,,https://drive.google.com/file/d/1kZGwVBST5cqFqfDfT1eEOj9hBHA3RUZC/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegAngara.jpg
Paneer Rajwadi,ProductType,12,"Inventory,Food,restaurant,Entree,Vegeterian,",165,,https://drive.google.com/file/d/1M90IcPwfgZLt86mLw6PYogY4xI56RRCM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerRajwadi.png
Veg Khazana,ProductType,13,"Inventory,Food,restaurant,Entree,Vegeterian,",165,,https://drive.google.com/file/d/1urUlLbs-DIUGIA7thCCDDHWUTdT2WFaS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-5/VegKhazana.jpg
Veg Tiranga,ProductType,14,"Inventory,Food,restaurant,Entree,Vegeterian,",225,,https://drive.google.com/file/d/1eYtwL3_ANYaMjfKCJAG19gEe-Zy84Bmx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegTiranga.jpg
Veg Gardan,ProductType,15,"Inventory,Food,restaurant,Entree,Vegeterian,",160,, ,
Veg Anda Curry,ProductType,16,"Inventory,Food,restaurant,Entree,Vegeterian,",150,,https://drive.google.com/file/d/18C0IFUovAUNodzfNJLpDHWfq0xMzyTPG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegAndaCurry.jpg
