label,nodeType,order,path,price,Ingredients,link,imageLink,description
Veg Starters,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1rPHaBukwlz0XWULqOVgaU6r0p5LxJaQI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/VegStarters.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Starters,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Veg Starters,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,
Veg Manchurian Dry,ProductType,4,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",80,"  grated cabbage, grated carrot,  maida,  Salt,
  chilli sauce,  soya sauce,  tomato ketchup,
  lemon juice,  sugar, capsicum, onion",https://drive.google.com/file/d/1WUVLy-4rg52XSvwqhUfVZYomOF7VhOB2/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/veg-manchurian-dry.jpg,
Paneer Chilli Dry,ProductType,5,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",90,"Paneer  ,medium onions  , capsicum  ,
green chilli  ,garlic  ,Soya sauce  ,
Green chilli sauce  ,Red chilli sauce  ,Tomato sauce  ,
Vinegar  ,Maida  ",https://drive.google.com/file/d/1BwMOrfcmYnZt2KHib5uG2oK7XhU3RoBt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerChilliDry.jpg,
Paneer 65,ProductType,6,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",100," paneer,Maida  ,Corn flour  ,Rice flour  ,
  red food colouring,  salt or as per taste,
Soy sauce  ,Lemon juice  ,Ginger garlic paste  ,
Coriander powder  ,Chilli powder  ",https://drive.google.com/file/d/18eQOtotfInWqsh70Rc6NLKcegEIaW-3Y/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Paneer65.jpg,
Chilli Mushroom,ProductType,7,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",80,,https://drive.google.com/file/d/1xbLjOs4xk_IXUkFD-XFfmBwJXzkgM4hV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChilliMushroom.jpg,
Veg Snacks,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1D-Nog4z8En2b458mwiL_0-7ohryNjyVy/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220306/VegSnacks.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Snacks,",,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Veg Starters,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,
Spicy Potato Crispy,ProductType,4,"Inventory,Food,Restaurant,Veg Snacks,Vegeterian,",40,"Boiled potatoes  ,Grated Paneer  ,Onion,cut     ,
Coriander leaves  ,Green chili  ,Red chili powder  ,
Amchur Powder  ,Bread cumbs  ,salt,as per taste  ",https://drive.google.com/file/d/14hG_I4lcQlAyLyAqw6_vddMG6qYOEOMr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-5/SpicyPotatoCrispy.jpg,
Aloo Patis,ProductType,5,"Inventory,Food,Restaurant,Veg Snacks,Vegeterian,",30,,https://drive.google.com/file/d/1U0EFppeuglgMK2dViuKll1wdJncxIxc8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AlooPatis.jpg,
Panko Fried Paneer,ProductType,6,"Inventory,Food,Restaurant,Veg Snacks,Vegeterian,",60,,https://drive.google.com/file/d/1fmA60LDbp2Ef0CV_GvtBTgIEK0We1q0W/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PankoFriedPaneer.jpg,
